Season,Rank,Team,Record,Rating,v 1-10,v 11-25,v 26-40,Hi,Lo,Last
2006-07,1,"Ohio St",12-1,18.4,1-1,1-0,1-0,1,44,1
2006-07,2,"Louisville",12-1,18.0,1-0,0-1,2-0,1,76,2
2006-07,3,"LSU",11-2,17.2,0-1,2-1,1-0,2,39,3
2006-07,4,"BYU",11-2,16.3,0-0,1-1,2-0,3,93,4
2006-07,5,"USC",11-2,16.2,1-0,3-0,2-2,3,105,5
2006-07,6,"Florida",13-1,15.5,2-0,3-1,2-0,4,36,6
2006-07,7,"Boise St",13-0,13.8,1-0,1-0,3-0,5,26,7
2006-07,8,"West Virginia",11-2,13.2,0-1,1-0,2-0,4,115,8
2006-07,9,"Michigan",11-2,12.9,0-2,1-0,2-0,3,41,9
2006-07,10,"Hawai'i",11-3,12.8,0-1,0-0,1-1,7,74,10
2006-07,11,"Texas",10-3,12.8,0-1,3-0,1-1,2,61,11
2006-07,12,"Oklahoma",11-3,12.4,0-1,2-1,3-1,11,54,12
2006-07,13,"California",10-3,11.9,0-1,0-1,4-0,7,88,13
2006-07,14,"Rutgers",11-2,11.6,1-1,0-0,1-0,12,114,14
2006-07,15,"Clemson",8-5,10.6,0-0,0-3,3-0,3,109,15
2006-07,16,"TCU",11-2,10.2,0-1,0-0,1-1,15,69,16
2006-07,17,"Tennessee",9-4,10.0,0-2,2-1,1-1,11,38,17
2006-07,18,"Wisconsin",12-1,9.9,0-1,1-0,1-0,11,43,18
2006-07,19,"Virginia Tech",10-3,9.6,0-0,1-1,1-2,11,100,19
2006-07,20,"Arkansas",10-4,9.3,0-3,3-1,0-0,20,113,20
2006-07,21,"Nebraska",9-5,9.3,0-1,0-4,2-0,5,59,21
2006-07,22,"Auburn",11-2,9.1,2-0,2-1,0-1,3,33,22
2006-07,23,"South Carolina",8-5,7.2,0-1,1-3,0-1,3,86,23
2006-07,24,"Boston College",10-3,7.2,1-0,2-0,1-1,8,113,24
2006-07,25,"Oklahoma St",7-6,6.8,0-0,1-2,0-2,10,56,25
2006-07,26,"Missouri",8-5,6.5,0-0,0-2,1-2,15,49,26
2006-07,27,"Notre Dame",10-3,6.4,0-3,0-0,3-0,19,41,27
2006-07,28,"Pittsburgh",6-6,5.6,0-2,0-1,0-0,6,112,28
2006-07,29,"Georgia",9-4,5.6,0-1,3-1,1-0,13,50,29
2006-07,30,"Oregon St",10-4,5.2,2-1,0-1,2-1,9,104,30
2006-07,31,"Texas Tech",8-5,5.1,0-0,1-3,1-1,8,55,31
2006-07,32,"Florida St",7-6,4.8,0-1,0-2,1-1,20,95,32
2006-07,33,"Penn St",9-4,4.7,0-2,1-1,0-1,22,63,33
2006-07,34,"UCLA",7-6,4.4,1-0,0-1,2-3,18,106,34
2006-07,35,"Oregon",7-6,4.3,0-2,1-1,1-1,7,107,35
2006-07,36,"Nevada",8-5,4.3,0-2,0-0,0-0,16,110,36
2006-07,37,"Texas A&M",9-4,4.3,0-0,2-3,1-1,16,64,37
2006-07,38,"Utah",8-5,4.2,0-2,1-0,0-1,16,95,38
2006-07,39,"Wake Forest",11-3,4.1,0-1,1-2,2-0,32,97,39
2006-07,40,"Georgia Tech",9-5,3.9,0-1,1-1,0-3,33,110,40
2006-07,41,"Alabama",6-7,3.9,1-2,0-4,0-0,20,52,41
2006-07,42,"Houston",10-4,3.4,0-0,1-1,0-0,12,62,42
2006-07,43,"S Florida",9-4,3.1,1-1,0-1,1-0,42,67,43
2006-07,44,"Arizona St",7-6,2.6,0-2,0-1,1-3,26,113,44
2006-07,45,"Tulsa",8-5,2.5,0-1,0-0,0-1,10,82,45
2006-07,46,"Minnesota",6-7,2.5,0-2,0-2,0-2,1,52,46
2006-07,47,"Southern Miss",9-5,2.5,0-1,0-1,0-0,40,104,47
2006-07,48,"Cincinnati",8-5,2.3,0-3,1-1,0-1,44,93,48
2006-07,49,"C Michigan",10-4,1.9,0-1,0-1,0-0,9,111,49
2006-07,50,"Washington St",6-6,1.9,0-1,0-2,3-0,23,103,50
2006-07,51,"Navy",9-4,1.4,0-0,0-2,0-1,22,95,51
2006-07,52,"Iowa",6-7,1.3,0-2,0-2,0-0,29,53,52
2006-07,53,"Miami",7-6,1.1,0-1,1-1,1-2,34,108,53
2006-07,54,"Kentucky",8-5,0.4,0-3,1-2,1-0,35,105,54
2006-07,55,"Arizona",6-6,-0.3,1-2,1-0,1-2,52,102,55
2006-07,56,"Kansas",6-6,-0.6,0-0,0-2,0-2,51,77,56
2006-07,57,"Washington",5-7,-0.9,0-1,0-2,1-2,42,88,57
2006-07,58,"Maryland",9-4,-1.4,0-1,1-1,1-2,50,101,58
2006-07,59,"E Carolina",7-6,-1.4,0-1,0-0,0-0,50,74,59
2006-07,60,"Air Force",4-8,-1.5,0-1,0-2,0-2,25,81,60
2006-07,61,"N Illinois",7-6,-1.6,0-1,0-1,0-0,4,98,61
2006-07,62,"Kansas St",7-6,-1.6,0-1,2-2,0-1,44,109,62
2006-07,63,"Wyoming",6-6,-1.8,0-2,0-1,1-0,10,91,63
2006-07,64,"W Michigan",8-5,-1.8,0-0,0-0,0-1,1,92,64
2006-07,65,"Vanderbilt",4-8,-2.1,0-2,0-3,1-0,28,94,65
2006-07,66,"Purdue",8-6,-2.9,0-1,0-1,0-2,48,82,66
2006-07,67,"San Jose St",9-4,-2.9,0-2,0-0,0-1,14,92,67
2006-07,68,"Virginia",5-7,-3.2,0-0,0-1,0-3,59,102,68
2006-07,69,"Ohio",9-5,-3.3,0-0,0-1,0-1,7,82,69
2006-07,70,"Syracuse",4-8,-3.5,0-2,0-1,0-2,48,117,70
2006-07,71,"Michigan St",4-8,-3.7,0-2,0-0,1-2,17,73,71
2006-07,72,"Ball St",5-7,-3.8,0-1,0-0,0-0,2,100,72
2006-07,73,"SMU",6-6,-4.1,0-0,0-0,0-1,25,113,73
2006-07,74,"New Mexico",6-7,-4.7,0-1,0-1,1-1,74,115,74
2006-07,75,"Middle Tenn",7-6,-4.9,0-1,0-2,0-0,60,109,75
2006-07,76,"UConn",4-8,-5.0,0-2,0-1,1-1,6,116,76
2006-07,77,"NC State",3-9,-5.1,0-0,1-1,1-2,72,101,77
2006-07,78,"Colorado",2-10,-5.4,0-0,0-2,1-2,45,114,78
2006-07,79,"Mississippi St",3-9,-5.9,0-2,0-3,0-1,42,116,79
2006-07,80,"Mississippi",4-8,-5.9,0-1,0-2,0-3,32,104,80
2006-07,81,"UL Monroe",4-8,-6.1,0-0,0-1,0-0,73,115,81
2006-07,82,"Troy",8-5,-6.1,0-0,0-1,0-2,38,100,82
2006-07,83,"Fresno St",4-8,-6.2,0-3,0-0,1-1,9,89,83
2006-07,84,"Marshall",5-7,-6.4,0-1,0-1,0-0,10,107,84
2006-07,85,"Colorado St",4-8,-6.4,0-1,0-1,0-2,51,92,85
2006-07,86,"Rice",7-6,-6.8,0-0,0-1,0-2,20,113,86
2006-07,87,"Akron",5-7,-6.9,0-0,0-0,0-1,12,91,87
2006-07,88,"Illinois",2-10,-7.4,0-1,0-2,0-1,50,104,88
2006-07,89,"UTEP",5-7,-7.4,0-0,0-0,0-1,7,90,89
2006-07,90,"UAB",3-9,-7.6,0-0,0-1,0-1,55,92,90
2006-07,91,"Baylor",4-8,-7.8,0-0,0-4,0-2,54,92,91
2006-07,92,"Northwestern",4-8,-8.0,0-2,0-1,0-2,2,106,92
2006-07,93,"Kent St",6-6,-8.2,0-0,0-1,0-0,17,119,93
2006-07,94,"New Mexico St",4-8,-8.2,0-2,0-0,0-1,83,117,94
2006-07,95,"Indiana",5-7,-8.5,0-2,0-1,0-0,20,102,95
2006-07,96,"Iowa St",4-8,-9.1,0-0,0-3,1-1,13,100,96
2006-07,97,"Toledo",5-7,-9.3,0-0,0-0,0-1,3,108,97
2006-07,98,"Miami OH",2-10,-9.7,0-0,0-0,0-0,6,118,98
2006-07,99,"Louisiana",6-6,-10.1,0-1,0-0,0-1,69,118,99
2006-07,100,"Memphis",2-10,-10.5,0-0,0-1,0-0,53,109,100
2006-07,101,"North Carolina",3-9,-10.6,0-0,0-3,0-3,77,114,101
2006-07,102,"UCF",4-8,-11.2,0-1,0-0,0-1,11,111,102
2006-07,103,"UNLV",2-10,-11.4,0-2,0-1,0-2,27,109,103
2006-07,104,"San Diego St",3-9,-11.7,0-1,0-2,0-1,72,112,104
2006-07,105,"Army",3-9,-11.9,0-0,0-1,0-2,56,106,105
2006-07,106,"Bowling Green",4-8,-12.3,0-1,0-1,0-0,8,107,106
2006-07,107,"Arkansas St",6-6,-12.4,0-0,0-2,0-0,42,111,107
2006-07,108,"Tulane",4-8,-12.8,0-1,0-1,0-0,55,110,108
2006-07,109,"Florida Atlantic",5-7,-13.0,0-0,0-3,0-0,106,119,109
2006-07,110,"Stanford",1-11,-13.2,0-1,0-1,0-4,82,116,110
2006-07,111,"E Michigan",1-11,-13.9,0-0,0-0,0-0,5,114,111
2006-07,112,"N Texas",3-9,-15.8,0-0,0-1,0-0,79,117,112
2006-07,113,"Duke",0-12,-16.1,0-0,0-2,0-3,88,118,113
2006-07,114,"Buffalo",2-10,-16.8,0-0,0-3,0-0,11,117,114
2006-07,115,"Idaho",4-8,-18.2,0-2,0-0,0-2,67,116,115
2006-07,116,"Florida Intl",0-12,-18.3,0-0,0-0,0-0,12,118,116
2006-07,117,"Louisiana Tech",3-10,-21.7,0-2,0-2,0-2,19,118,117
2006-07,118,"Utah St",1-11,-22.1,0-3,0-1,0-2,70,118,118
2006-07,119,"Temple",1-11,-24.5,0-1,0-1,0-1,66,119,119
2007-08,1,"West Virginia",11-2,22.3,1-0,1-1,2-0,1,7,1
2007-08,2,"Oklahoma",11-3,21.8,2-1,1-1,1-0,1,4,2
2007-08,3,"LSU",12-2,20.5,2-0,3-1,2-1,1,4,3
2007-08,4,"USC",11-2,20.2,0-1,3-0,2-0,1,11,4
2007-08,5,"Florida",9-4,18.5,0-2,1-1,2-1,4,17,5
2007-08,6,"Kansas",12-1,17.9,0-1,1-0,1-0,4,56,6
2007-08,7,"Oregon",9-4,17.8,1-0,2-2,1-1,3,29,7
2007-08,8,"Missouri",12-2,17.6,1-2,2-0,1-0,7,43,8
2007-08,9,"Ohio St",11-2,16.5,0-1,1-0,3-1,4,24,9
2007-08,10,"Georgia",11-2,13.7,1-0,1-1,4-1,10,32,10
2007-08,11,"Cincinnati",10-3,13.6,0-1,2-0,1-1,6,50,11
2007-08,12,"Virginia Tech",11-3,13.1,0-2,1-0,1-1,7,41,12
2007-08,13,"Texas",10-3,12.8,0-1,2-0,2-0,8,30,13
2007-08,14,"S Florida",9-4,12.2,1-1,1-1,1-1,10,61,14
2007-08,15,"Clemson",9-4,11.9,0-0,0-2,1-1,12,44,15
2007-08,16,"Arizona St",10-3,11.6,0-2,2-1,1-0,9,46,16
2007-08,17,"Texas Tech",9-4,11.3,1-1,0-1,0-1,10,43,17
2007-08,18,"BYU",11-2,11.3,0-0,0-0,3-1,10,34,18
2007-08,19,"Boise St",10-3,10.7,0-0,0-0,0-1,10,26,19
2007-08,20,"Oregon St",9-4,9.7,1-1,1-2,1-1,12,47,20
2007-08,21,"Penn St",9-4,9.7,0-1,0-0,1-3,13,39,21
2007-08,22,"Auburn",9-4,9.5,1-2,2-1,1-0,11,43,22
2007-08,23,"Arkansas",8-5,8.9,1-1,0-2,1-2,17,38,23
2007-08,24,"California",7-6,8.6,1-1,1-2,0-1,5,26,24
2007-08,25,"Tennessee",10-4,8.5,1-2,1-1,3-1,24,47,25
2007-08,26,"Utah",9-4,8.2,0-0,0-2,3-0,21,55,26
2007-08,27,"UCLA",6-7,7.9,1-1,3-2,0-1,7,42,27
2007-08,28,"Oklahoma St",7-6,7.7,0-3,1-1,0-0,25,53,28
2007-08,29,"Rutgers",8-5,7.3,0-1,1-1,0-1,11,40,29
2007-08,30,"Michigan",9-4,7.3,1-2,1-0,2-1,14,75,30
2007-08,31,"Boston College",11-3,7.1,0-0,2-1,1-0,12,33,31
2007-08,32,"Kentucky",8-5,6.8,1-2,1-1,1-1,14,59,32
2007-08,33,"Louisville",6-6,6.7,0-1,1-1,1-2,2,33,33
2007-08,34,"Hawai'i",12-1,6.3,0-1,1-0,0-0,11,35,34
2007-08,35,"Alabama",7-6,5.8,0-2,2-1,0-0,19,40,35
2007-08,36,"Wisconsin",9-4,5.7,0-1,0-2,2-1,8,49,36
2007-08,37,"South Carolina",6-6,5.6,1-2,0-3,1-0,17,41,37
2007-08,38,"TCU",8-5,5.2,0-0,0-2,0-1,18,53,38
2007-08,39,"Michigan St",7-6,5.0,0-1,1-0,0-3,37,63,39
2007-08,40,"Illinois",9-4,4.9,1-2,1-0,1-1,34,77,40
2007-08,41,"Arizona",5-7,4.8,1-1,0-4,1-0,41,72,41
2007-08,42,"Texas A&M",7-6,4.7,0-3,1-2,1-0,36,52,42
2007-08,43,"Wake Forest",9-4,4.5,0-0,0-1,0-1,41,57,43
2007-08,44,"Virginia",9-4,4.5,0-0,0-2,0-0,40,60,44
2007-08,45,"UConn",9-4,4.2,0-1,1-1,2-0,28,67,45
2007-08,46,"Washington",4-9,4.0,0-3,2-2,0-2,27,58,46
2007-08,47,"Florida St",7-6,3.7,0-1,0-2,2-1,22,48,47
2007-08,48,"Purdue",8-5,3.6,0-1,0-1,0-2,19,48,48
2007-08,49,"Kansas St",5-7,3.4,0-2,1-1,0-1,13,53,49
2007-08,50,"Georgia Tech",7-6,3.1,0-1,1-1,0-1,10,50,50
2007-08,51,"Maryland",6-7,3.0,0-1,0-2,2-0,51,69,51
2007-08,52,"Air Force",9-4,2.7,0-0,0-2,2-0,45,72,52
2007-08,53,"Nebraska",5-7,1.7,0-3,0-1,0-1,9,62,53
2007-08,54,"Troy",8-4,1.5,0-2,0-1,1-0,50,90,54
2007-08,55,"Colorado",6-7,1.3,1-2,1-1,0-1,33,64,55
2007-08,56,"UCF",10-4,1.2,0-0,0-2,0-0,55,102,56
2007-08,57,"Tulsa",10-4,0.6,0-1,1-0,0-0,44,78,57
2007-08,58,"Pittsburgh",5-7,0.4,1-0,1-1,0-3,40,72,58
2007-08,59,"New Mexico",9-4,0.2,0-0,0-1,0-2,42,62,59
2007-08,60,"Fresno St",9-4,-0.7,0-1,0-1,0-1,59,77,60
2007-08,61,"Vanderbilt",5-7,-0.8,0-2,0-2,1-2,56,66,61
2007-08,62,"Washington St",5-7,-0.9,0-2,0-3,1-1,43,73,62
2007-08,63,"Mississippi St",8-5,-1.1,0-2,1-2,2-1,61,104,63
2007-08,64,"Houston",8-5,-1.5,0-1,0-0,0-2,45,67,64
2007-08,65,"Indiana",7-6,-1.9,0-0,0-1,0-4,45,82,65
2007-08,66,"Iowa",6-6,-2.2,0-0,0-1,2-1,29,66,66
2007-08,67,"Southern Miss",7-6,-3.2,0-0,0-3,0-0,49,77,67
2007-08,68,"E Carolina",8-5,-3.5,0-1,1-1,0-0,68,87,68
2007-08,69,"Miami",5-7,-4.0,0-1,0-1,0-1,21,70,69
2007-08,70,"Ball St",7-6,-4.2,0-0,0-0,0-2,59,90,70
2007-08,71,"Navy",8-5,-4.6,0-0,0-0,0-2,63,81,71
2007-08,72,"Stanford",4-8,-4.8,1-1,1-2,0-2,67,97,72
2007-08,73,"North Carolina",4-8,-5.0,0-0,0-2,0-1,70,98,73
2007-08,74,"Mississippi",3-9,-5.6,0-4,0-2,0-1,64,77,74
2007-08,75,"Colorado St",3-9,-5.9,0-0,0-2,0-2,61,80,75
2007-08,76,"Wyoming",5-7,-6.2,0-0,0-2,1-1,39,77,76
2007-08,77,"Nevada",6-7,-6.2,0-0,0-1,0-1,65,87,77
2007-08,78,"NC State",5-7,-6.7,0-0,0-1,0-2,61,87,78
2007-08,79,"Notre Dame",3-9,-7.1,0-1,0-1,1-3,48,95,79
2007-08,80,"C Michigan",8-6,-7.6,0-1,0-1,0-0,74,108,80
2007-08,81,"Northwestern",6-6,-8.0,0-1,0-0,1-2,70,93,81
2007-08,82,"W Michigan",5-7,-8.6,0-2,0-0,0-0,73,94,82
2007-08,83,"Minnesota",1-11,-8.9,0-1,0-0,0-3,27,87,83
2007-08,84,"Florida Atlantic",8-5,-9.0,0-1,0-1,0-2,84,110,84
2007-08,85,"Middle Tenn",5-7,-9.8,0-1,0-0,0-1,77,104,85
2007-08,86,"San Diego St",4-8,-10.1,0-0,0-3,0-2,79,103,86
2007-08,87,"Bowling Green",8-5,-10.3,0-0,0-0,0-2,67,91,87
2007-08,88,"W Kentucky",7-5,-10.5,0-1,0-0,0-0,84,120,88
2007-08,89,"Iowa St",3-9,-10.7,0-3,0-2,0-0,87,114,89
2007-08,90,"UNLV",2-10,-10.8,0-0,0-1,1-3,76,104,90
2007-08,91,"Ohio",6-6,-11.4,0-0,0-1,0-0,82,97,91
2007-08,92,"UTEP",4-8,-11.6,0-0,0-1,0-0,72,101,92
2007-08,93,"UL Monroe",6-6,-11.7,0-0,0-1,1-0,92,112,93
2007-08,94,"Marshall",3-9,-12.0,0-1,0-1,0-0,78,109,94
2007-08,95,"Miami OH",6-7,-12.5,0-0,0-1,0-0,62,98,95
2007-08,96,"Duke",1-11,-12.9,0-0,0-2,0-0,86,113,96
2007-08,97,"Buffalo",5-7,-13.0,0-0,0-1,0-1,89,117,97
2007-08,98,"Arkansas St",5-7,-13.2,0-0,0-2,0-0,83,114,98
2007-08,99,"Syracuse",2-10,-13.2,0-1,0-2,1-2,79,113,99
2007-08,100,"Toledo",5-7,-13.6,0-1,0-0,0-0,79,114,100
2007-08,101,"San Jose St",5-7,-13.9,0-0,0-2,0-1,88,114,101
2007-08,102,"Memphis",7-6,-14.1,0-0,0-0,0-0,81,108,102
2007-08,103,"Akron",4-8,-14.1,0-1,0-0,0-0,80,103,103
2007-08,104,"Louisiana Tech",5-7,-15.0,0-1,0-2,0-1,88,112,104
2007-08,105,"E Michigan",4-8,-15.0,0-0,0-0,0-1,104,116,105
2007-08,106,"Baylor",3-9,-15.2,0-2,0-2,0-2,86,107,106
2007-08,107,"Tulane",4-8,-16.2,0-1,0-0,0-0,106,116,107
2007-08,108,"Kent St",3-9,-16.3,0-1,0-0,0-1,78,108,108
2007-08,109,"Utah St",2-10,-16.5,0-1,0-1,0-2,104,117,109
2007-08,110,"SMU",1-11,-16.6,0-0,0-1,0-1,80,112,110
2007-08,111,"Rice",3-9,-17.7,0-0,0-2,0-0,96,118,111
2007-08,112,"Army",3-9,-18.0,0-0,0-0,0-2,104,113,112
2007-08,113,"N Illinois",2-10,-18.8,0-0,0-0,0-1,67,117,113
2007-08,114,"New Mexico St",4-9,-19.2,0-0,0-2,0-1,87,115,114
2007-08,115,"UAB",2-10,-19.4,0-0,0-0,0-1,95,117,115
2007-08,116,"Temple",4-8,-19.5,0-0,0-1,0-0,113,119,116
2007-08,117,"Louisiana",3-9,-19.9,0-0,0-1,0-1,100,118,117
2007-08,118,"Idaho",1-11,-21.2,0-1,0-1,0-1,105,118,118
2007-08,119,"N Texas",2-10,-25.0,0-1,0-1,0-0,113,120,119
2007-08,120,"Florida Intl",1-11,-26.6,0-1,0-2,0-0,119,120,120
2008-09,1,"Florida",13-1,31.5,1-0,3-1,2-0,1,6,2
2008-09,2,"Oklahoma",12-2,30.2,3-2,2-0,2-0,1,5,1
2008-09,3,"USC",12-1,29.7,3-0,2-1,0-0,1,7,3
2008-09,4,"Texas",12-1,25.2,3-1,2-0,0-0,2,15,4
2008-09,5,"Penn St",11-2,22.9,1-1,1-1,1-0,2,11,5
2008-09,6,"Ohio St",10-3,17.0,0-3,0-0,1-0,1,22,8
2008-09,7,"TCU",11-2,17.0,0-1,2-1,0-0,6,33,9
2008-09,8,"Texas Tech",11-2,16.4,1-1,2-1,1-0,6,19,6
2008-09,9,"Missouri",10-4,16.3,0-2,0-2,1-0,4,12,7
2008-09,10,"Oregon",10-3,16.3,0-1,3-2,0-0,4,16,11
2008-09,11,"Boise St",12-1,15.6,1-1,0-0,0-0,10,29,10
2008-09,12,"Alabama",12-2,15.2,0-1,2-1,2-0,8,27,12
2008-09,13,"Utah",13-0,14.3,1-0,3-0,0-0,13,31,15
2008-09,14,"California",9-4,13.5,1-1,0-2,1-0,4,25,14
2008-09,15,"Oklahoma St",9-4,13.1,1-4,0-0,0-0,7,26,13
2008-09,16,"Arizona",8-5,12.6,0-2,2-1,0-0,10,40,16
2008-09,17,"Iowa",9-4,12.3,1-0,0-0,1-2,16,58,17
2008-09,18,"Oregon St",9-4,11.5,1-2,2-1,1-0,13,64,18
2008-09,19,"Mississippi",9-4,11.2,2-0,0-1,1-2,19,71,20
2008-09,20,"Georgia",10-3,10.7,0-1,0-1,3-0,6,20,19
2008-09,21,"Florida St",9-4,10.4,0-1,0-0,2-2,16,29,21
2008-09,22,"BYU",10-3,8.3,0-1,0-2,0-0,7,34,22
2008-09,23,"Kansas",8-5,7.5,1-3,0-0,0-2,10,31,23
2008-09,24,"Tulsa",11-3,7.4,0-0,0-0,1-0,18,53,32
2008-09,25,"West Virginia",9-4,6.7,0-0,0-0,4-2,4,50,24
2008-09,26,"Pittsburgh",9-4,6.7,0-0,2-1,2-2,24,68,27
2008-09,27,"Nebraska",9-4,6.6,0-3,1-0,1-1,23,54,26
2008-09,28,"LSU",8-5,6.6,0-1,0-3,1-0,5,37,35
2008-09,29,"Clemson",7-6,6.4,0-0,0-2,2-2,14,46,25
2008-09,30,"Rutgers",8-5,6.3,0-0,0-1,3-2,27,86,28
2008-09,31,"S Florida",8-5,5.2,0-0,1-1,1-3,13,43,34
2008-09,32,"Michigan St",9-4,5.0,0-2,1-2,0-0,20,41,30
2008-09,33,"Virginia Tech",10-4,4.9,0-0,0-1,4-1,18,46,37
2008-09,34,"North Carolina",8-5,4.8,0-0,0-1,3-1,21,78,33
2008-09,35,"Cincinnati",11-3,4.3,0-1,1-0,3-2,25,45,31
2008-09,36,"Boston College",9-5,4.0,0-0,1-0,2-3,30,49,36
2008-09,37,"Wake Forest",8-5,4.0,0-0,2-0,1-1,20,48,41
2008-09,38,"UConn",8-5,3.5,0-0,0-1,1-4,30,47,42
2008-09,39,"Ball St",12-2,3.3,0-0,0-1,0-0,22,67,29
2008-09,40,"South Carolina",7-6,3.2,0-1,1-2,0-2,14,46,40
2008-09,41,"Miami",7-6,2.7,0-1,0-2,2-1,33,68,47
2008-09,42,"Arizona St",5-7,2.7,0-2,0-4,0-0,17,57,43
2008-09,43,"Houston",8-5,2.5,0-0,1-1,0-0,39,75,48
2008-09,44,"Tennessee",5-7,2.4,0-1,0-2,0-1,24,54,46
2008-09,45,"Troy",8-5,2.3,0-1,0-1,0-1,24,57,44
2008-09,46,"Stanford",5-7,2.1,0-3,2-1,0-0,44,80,49
2008-09,47,"Wisconsin",7-6,2.0,0-2,0-2,0-1,13,47,39
2008-09,48,"Georgia Tech",9-4,2.0,0-0,2-0,2-3,31,65,38
2008-09,49,"Illinois",5-7,1.9,0-3,1-0,0-0,27,63,45
2008-09,50,"Notre Dame",7-6,1.4,0-1,0-0,0-4,42,66,55
2008-09,51,"Vanderbilt",7-6,1.1,0-1,1-1,2-1,39,79,54
2008-09,52,"Auburn",5-7,1.0,0-0,0-4,0-1,8,54,52
2008-09,53,"Northwestern",9-4,0.8,0-2,1-0,0-1,51,76,53
2008-09,54,"Purdue",4-8,0.7,0-3,0-1,0-1,44,66,51
2008-09,55,"Navy",8-5,0.5,0-0,0-0,2-3,50,79,50
2008-09,56,"Southern Miss",7-6,0.1,0-0,0-1,0-0,48,81,57
2008-09,57,"Kentucky",7-6,0.0,0-1,0-2,0-1,19,58,58
2008-09,58,"Baylor",4-8,-0.5,0-4,0-1,0-3,55,110,56
2008-09,59,"Air Force",8-5,-0.7,0-1,0-2,0-0,48,69,59
2008-09,60,"Rice",10-3,-0.7,0-1,0-1,0-0,60,108,65
2008-09,61,"Maryland",8-5,-1.2,0-0,1-1,3-2,44,80,61
2008-09,62,"E Carolina",9-5,-1.5,0-0,2-0,1-0,36,75,60
2008-09,63,"Bowling Green",6-6,-2.4,0-0,0-1,1-0,54,79,62
2008-09,64,"Kansas St",5-7,-2.6,0-3,0-1,0-1,23,66,66
2008-09,65,"Nevada",7-6,-2.7,0-2,0-1,0-0,60,94,63
2008-09,66,"NC State",6-7,-2.9,0-0,0-1,2-5,66,105,71
2008-09,67,"Arkansas",5-7,-3.0,0-2,1-2,1-1,29,93,72
2008-09,68,"Virginia",5-7,-3.2,0-1,0-0,1-4,51,109,70
2008-09,69,"Minnesota",7-6,-3.7,0-1,0-2,0-0,33,71,68
2008-09,70,"New Mexico",4-8,-3.7,0-1,1-3,0-0,60,86,73
2008-09,71,"Buffalo",8-6,-3.8,0-1,0-0,1-2,64,100,67
2008-09,72,"N Illinois",6-7,-3.9,0-0,0-0,0-1,51,89,64
2008-09,73,"Michigan",3-9,-4.5,0-2,0-1,0-1,35,79,74
2008-09,74,"W Michigan",9-4,-4.9,0-0,0-0,0-2,61,93,69
2008-09,75,"Colorado",5-7,-5.0,0-2,1-3,0-1,34,79,75
2008-09,76,"Duke",4-8,-5.3,0-0,0-0,0-4,70,96,76
2008-09,77,"UCLA",4-8,-5.6,0-2,0-4,0-0,37,89,79
2008-09,78,"Temple",5-7,-6.2,0-1,0-0,0-1,75,105,77
2008-09,79,"Fresno St",7-6,-6.4,0-0,0-1,1-0,21,80,78
2008-09,80,"Louisville",5-7,-6.6,0-0,0-1,1-4,32,81,81
2008-09,81,"C Michigan",8-5,-6.9,0-0,0-1,0-1,76,96,80
2008-09,82,"Texas A&M",4-8,-7.3,0-3,0-1,0-0,43,88,82
2008-09,83,"Colorado St",7-6,-7.4,0-1,0-3,0-0,79,107,85
2008-09,84,"Arkansas St",6-6,-8.2,0-0,0-1,0-0,57,112,87
2008-09,85,"Akron",5-7,-8.4,0-0,0-0,0-2,76,103,84
2008-09,86,"Hawai'i",7-7,-8.4,0-1,0-2,0-1,59,101,83
2008-09,87,"Memphis",6-7,-8.5,0-0,0-1,0-1,86,102,86
2008-09,88,"UTEP",5-7,-8.7,0-1,0-1,0-0,80,113,88
2008-09,89,"Mississippi St",4-8,-8.7,0-0,0-2,0-1,61,89,89
2008-09,90,"Louisiana Tech",8-5,-9.4,0-0,0-2,0-0,90,106,92
2008-09,91,"Florida Atlantic",7-6,-9.8,0-1,0-0,0-1,89,103,94
2008-09,92,"Louisiana",6-6,-9.9,0-0,0-0,0-0,75,116,91
2008-09,93,"Marshall",4-8,-10.0,0-0,0-2,0-1,86,103,93
2008-09,94,"Ohio",4-8,-10.1,0-1,0-0,0-0,78,99,90
2008-09,95,"Iowa St",2-10,-10.4,0-1,0-3,0-1,67,96,95
2008-09,96,"UNLV",5-7,-10.6,0-1,0-2,0-0,78,101,96
2008-09,97,"Middle Tenn",5-7,-10.9,0-0,0-0,0-0,73,101,97
2008-09,98,"UCF",4-8,-11.4,0-0,0-1,0-2,62,108,98
2008-09,99,"Florida Intl",5-7,-12.2,0-0,0-2,0-1,91,118,100
2008-09,100,"San Jose St",6-6,-12.3,0-0,0-1,0-1,87,114,99
2008-09,101,"Syracuse",3-9,-12.5,0-1,0-1,0-5,93,114,101
2008-09,102,"Kent St",4-8,-13.3,0-0,0-0,0-2,100,112,102
2008-09,103,"Toledo",3-9,-13.5,0-0,0-1,0-1,67,104,103
2008-09,104,"Washington",0-12,-13.8,0-3,0-4,0-0,40,104,104
2008-09,105,"UAB",4-8,-14.3,0-0,0-1,0-1,102,115,107
2008-09,106,"Utah St",3-9,-14.4,0-1,0-3,0-0,105,117,105
2008-09,107,"Indiana",3-9,-14.9,0-1,0-1,0-2,55,107,106
2008-09,108,"UL Monroe",4-8,-15.9,0-0,0-1,0-0,95,111,109
2008-09,109,"E Michigan",3-9,-16.4,0-0,0-0,0-2,80,116,108
